,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
1512,3 punti sbagliato,,Charlie Edward Moore,missed,507,507,375.0,812.0,6
1513,3 punti sbagliato,,Charlie Edward Moore,missed,529,529,285.0,840.0,6
1514,3 punti sbagliato,,Payton Terrell Willis,missed,571,571,495.0,980.0,6
1515,3 punti segnato,Ryan Hawkins,Payton Terrell Willis,made,14,614,255.0,728.0,6
1516,3 punti segnato,,Ryan Hawkins,made,173,773,390.0,840.0,6
1517,3 punti sbagliato,,Gianluca Della Rosa,missed,206,806,960.0,924.0,7
1518,3 punti sbagliato,,Ryan Hawkins,missed,231,831,675.0,924.0,6
1519,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,273,873,615.0,280.0,0
1520,2 punti segnato,,Charlie Edward Moore,made,316,916,855.0,196.0,0
1521,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,385,985,720.0,252.0,0
1522,2 punti sbagliato,,Jordon Varnado,missed,417,1017,720.0,336.0,0
1523,2 punti sbagliato,,Derek Ogbeide,missed,417,1017,720.0,336.0,0
1524,2 punti segnato,,Jordon Varnado,made,417,1017,720.0,336.0,0
1525,3 punti segnato,,Charlie Edward Moore,made,473,1073,840.0,896.0,7
1526,2 punti sbagliato,,Derek Ogbeide,missed,504,1104,735.0,196.0,0
1527,2 punti sbagliato,,Charlie Edward Moore,missed,517,1117,765.0,252.0,0
1528,2 punti segnato,Lorenzo Saccaggi,Derek Ogbeide,made,541,1141,720.0,168.0,0
1529,2 punti segnato,,Charlie Edward Moore,made,554,1154,555.0,364.0,2
1530,3 punti sbagliato,,Payton Terrell Willis,missed,599,1199,435.0,840.0,6
1531,2 punti sbagliato,,Derek Ogbeide,missed,599,1199,435.0,840.0,6
1532,2 punti sbagliato,,Derek Ogbeide,missed,599,1199,435.0,840.0,6
1533,2 punti segnato,,Jordon Varnado,made,32,1232,975.0,224.0,0
1534,2 punti segnato,,Charlie Edward Moore,made,159,1359,630.0,196.0,0
1535,3 punti segnato,,Jordon Varnado,made,204,1404,885.0,896.0,7
1536,2 punti segnato,Charlie Edward Moore,Payton Terrell Willis,made,233,1433,780.0,224.0,0
1537,2 punti segnato,,Charlie Edward Moore,made,269,1469,990.0,224.0,4
1538,2 punti segnato,Derek Ogbeide,Jordon Varnado,made,302,1502,765.0,196.0,0
1539,3 punti sbagliato,,Payton Terrell Willis,missed,364,1564,720.0,952.0,6
1540,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,373,1573,855.0,224.0,0
1541,3 punti segnato,Charlie Edward Moore,Ryan Hawkins,made,400,1600,330.0,756.0,6
