,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
678,2 punti sbagliato,,Nicola Akele,missed,332,332,855.0,252.0,0
679,2 punti segnato,Semaj Christon,Miro Bilan,made,345,345,780.0,140.0,0
680,2 punti segnato,,C.J. Massinburg,made,384,384,645.0,196.0,0
681,3 punti sbagliato,,Kenny Gabriel,missed,391,391,1440.0,476.0,8
682,3 punti sbagliato,,Kenny Gabriel,missed,464,464,1170.0,812.0,7
683,2 punti segnato,,Semaj Christon,made,487,487,825.0,196.0,0
684,2 punti sbagliato,,Semaj Christon,missed,523,523,705.0,308.0,0
685,2 punti segnato,,Jason Burnell,made,559,559,885.0,224.0,0
686,3 punti segnato,,C.J. Massinburg,made,594,594,615.0,840.0,6
687,2 punti sbagliato,,Kenny Gabriel,missed,21,621,615.0,196.0,0
688,2 punti segnato,C.J. Massinburg,Michael Cobbins,made,53,653,735.0,140.0,0
689,2 punti sbagliato,,Jason Burnell,missed,101,701,960.0,308.0,3
690,3 punti segnato,Jason Burnell,C.J. Massinburg,made,130,730,795.0,896.0,7
691,2 punti sbagliato,,David Reginald Cournooh,missed,157,757,660.0,280.0,0
692,2 punti segnato,Jason Burnell,Kenny Gabriel,made,178,778,735.0,168.0,0
693,3 punti sbagliato,,C.J. Massinburg,missed,214,814,150.0,560.0,6
694,2 punti segnato,C.J. Massinburg,Miro Bilan,made,244,844,690.0,168.0,0
695,2 punti sbagliato,,Miro Bilan,missed,281,881,690.0,252.0,0
696,2 punti segnato,Jason Burnell,Miro Bilan,made,295,895,840.0,252.0,0
697,2 punti segnato,Jason Burnell,Miro Bilan,made,325,925,810.0,168.0,0
698,2 punti segnato,C.J. Massinburg,Miro Bilan,made,360,960,765.0,252.0,0
699,3 punti sbagliato,,C.J. Massinburg,missed,391,991,255.0,700.0,6
700,2 punti segnato,,Semaj Christon,made,432,1032,870.0,196.0,0
701,2 punti sbagliato,,Jason Burnell,missed,467,1067,945.0,560.0,3
702,3 punti sbagliato,,Jason Burnell,missed,531,1131,1380.0,588.0,7
703,2 punti segnato,,Miro Bilan,made,548,1148,750.0,392.0,0
704,2 punti segnato,,Semaj Christon,made,42,1242,690.0,168.0,0
705,2 punti segnato,,Nicola Akele,made,60,1260,645.0,196.0,0
706,2 punti segnato,Semaj Christon,Miro Bilan,made,87,1287,765.0,196.0,0
707,3 punti segnato,Semaj Christon,Amedeo Della Valle,made,103,1303,150.0,560.0,6
708,3 punti sbagliato,,Nicola Akele,missed,154,1354,285.0,728.0,6
709,2 punti segnato,Amedeo Della Valle,Miro Bilan,made,179,1379,795.0,308.0,0
710,2 punti segnato,Semaj Christon,Miro Bilan,made,356,1556,810.0,196.0,0
711,3 punti sbagliato,,Amedeo Della Valle,missed,410,1610,675.0,924.0,6
712,2 punti sbagliato,,Miro Bilan,missed,459,1659,780.0,700.0,3
713,3 punti sbagliato,,Jason Burnell,missed,488,1688,1335.0,672.0,7
714,2 punti segnato,,Jason Burnell,made,506,1706,810.0,196.0,0
715,2 punti sbagliato,,C.J. Massinburg,missed,539,1739,885.0,224.0,0
716,3 punti sbagliato,,Semaj Christon,missed,590,1790,1170.0,784.0,7
717,2 punti sbagliato,,Michael Cobbins,missed,17,1817,735.0,140.0,0
718,3 punti sbagliato,,David Reginald Cournooh,missed,46,1846,225.0,784.0,6
719,3 punti sbagliato,,John Petrucelli,missed,161,1961,375.0,840.0,6
720,3 punti sbagliato,,John Petrucelli,missed,199,1999,135.0,672.0,6
721,3 punti sbagliato,,Semaj Christon,missed,220,2020,555.0,924.0,6
722,3 punti segnato,Semaj Christon,John Petrucelli,made,293,2093,690.0,924.0,6
723,2 punti sbagliato,,John Petrucelli,missed,330,2130,720.0,448.0,2
724,3 punti sbagliato,,C.J. Massinburg,missed,357,2157,240.0,784.0,6
725,3 punti segnato,C.J. Massinburg,Kenny Gabriel,made,423,2223,240.0,784.0,6
726,3 punti sbagliato,,John Petrucelli,missed,465,2265,720.0,924.0,6
727,3 punti sbagliato,,Amedeo Della Valle,missed,524,2324,390.0,924.0,6
728,2 punti sbagliato,,Semaj Christon,missed,562,2362,420.0,560.0,2
729,2 punti segnato,C.J. Massinburg,Miro Bilan,made,572,2372,690.0,336.0,0
730,2 punti sbagliato,,Amedeo Della Valle,missed,590,2390,345.0,364.0,1
731,2 punti segnato,,Semaj Christon,made,34,34,525.0,504.0,2
732,2 punti sbagliato,,John Petrucelli,missed,53,53,675.0,140.0,0
733,3 punti sbagliato,,John Petrucelli,missed,100,100,135.0,616.0,6
734,2 punti segnato,,Nicola Akele,made,104,104,690.0,140.0,0
735,2 punti segnato,Semaj Christon,Nicola Akele,made,149,149,735.0,168.0,0
736,2 punti sbagliato,,Miro Bilan,missed,218,218,735.0,308.0,0
737,3 punti sbagliato,,Semaj Christon,missed,328,328,405.0,840.0,6
738,3 punti segnato,,Amedeo Della Valle,made,343,343,930.0,868.0,7
739,2 punti sbagliato,,Amedeo Della Valle,missed,412,412,600.0,280.0,0
740,2 punti segnato,Miro Bilan,Nicola Akele,made,425,425,735.0,168.0,0
741,2 punti segnato,David Reginald Cournooh,Amedeo Della Valle,made,463,463,1275.0,224.0,4
742,3 punti sbagliato,,Kenny Gabriel,missed,503,503,1320.0,672.0,7
743,2 punti segnato,,Jason Burnell,made,507,507,705.0,168.0,0
744,2 punti segnato,Miro Bilan,Jason Burnell,made,544,544,855.0,224.0,0
745,2 punti segnato,C.J. Massinburg,Miro Bilan,made,584,584,690.0,168.0,0
746,3 punti sbagliato,,Amedeo Della Valle,missed,600,600,540.0,868.0,6
747,3 punti sbagliato,,Jason Burnell,missed,15,615,1425.0,392.0,8
748,2 punti segnato,,David Reginald Cournooh,made,43,643,960.0,224.0,0
749,2 punti sbagliato,,David Reginald Cournooh,missed,105,705,1200.0,308.0,4
750,3 punti segnato,C.J. Massinburg,Kenny Gabriel,made,140,740,1095.0,812.0,7
751,3 punti sbagliato,,Kenny Gabriel,missed,176,776,1095.0,896.0,7
752,2 punti segnato,,John Petrucelli,made,208,808,840.0,196.0,0
753,2 punti segnato,,David Reginald Cournooh,made,228,828,705.0,168.0,0
754,3 punti sbagliato,,C.J. Massinburg,missed,272,872,1260.0,644.0,7
755,2 punti sbagliato,,David Reginald Cournooh,missed,277,877,660.0,196.0,0
756,2 punti sbagliato,,David Reginald Cournooh,missed,280,880,1245.0,280.0,4
757,2 punti segnato,John Petrucelli,Michael Cobbins,made,316,916,780.0,224.0,0
758,3 punti sbagliato,,C.J. Massinburg,missed,344,944,345.0,728.0,6
759,3 punti segnato,,Amedeo Della Valle,made,423,1023,255.0,756.0,6
760,3 punti segnato,,Amedeo Della Valle,made,466,1066,210.0,700.0,6
761,2 punti sbagliato,,Nicola Akele,missed,507,1107,660.0,252.0,0
762,3 punti sbagliato,,Amedeo Della Valle,missed,573,1173,420.0,868.0,6
