,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
16973,3 punti sbagliato,,Tyler Ennis,missed,525,2325,1320.0,672.0,7
16974,3 punti sbagliato,,Gabriel Lundberg,missed,551,2351,1140.0,868.0,7
16975,3 punti sbagliato,,Jacob Pullen,missed,564,2364,450.0,868.0,6
16976,3 punti sbagliato,,Michal Sokolowski,missed,570,2370,1380.0,532.0,7
16977,3 punti sbagliato,,Tariq Owens,missed,598,2398,720.0,924.0,6
16978,2 punti segnato,,Breein Tyree,made,14,14,1065.0,644.0,3
16979,2 punti sbagliato,,Shavon Shields,missed,72,72,735.0,420.0,2
16980,2 punti segnato,,Alex Poythress,made,72,72,735.0,420.0,2
16981,2 punti segnato,,Brandon Jefferson,made,88,88,390.0,644.0,2
16982,2 punti sbagliato,,Shavon Shields,missed,115,115,1005.0,644.0,3
16983,3 punti sbagliato,,Brandon Jefferson,missed,133,133,1095.0,896.0,7
16984,2 punti segnato,,Breein Tyree,made,165,165,855.0,280.0,0
16985,3 punti sbagliato,,Shabazz Napier,missed,189,189,390.0,840.0,6
16986,2 punti sbagliato,,Breein Tyree,missed,209,209,375.0,196.0,1
16987,3 punti segnato,Giampaolo Ricci,Shavon Shields,made,222,222,45.0,420.0,5
16988,2 punti segnato,Alex Poythress,Shabazz Napier,made,260,260,660.0,224.0,0
16989,2 punti sbagliato,,Breein Tyree,missed,278,278,930.0,196.0,0
16990,2 punti segnato,,Vasilis Charalampopoulos,made,308,308,1125.0,224.0,4
16991,3 punti sbagliato,,Devon Hall,missed,338,338,1455.0,252.0,8
16992,2 punti segnato,Brandon Jefferson,Vasilis Charalampopoulos,made,371,371,1350.0,364.0,4
16993,2 punti sbagliato,,Giordano Bortolani,missed,421,421,645.0,448.0,2
16994,2 punti sbagliato,,Guglielmo Caruso,missed,421,421,645.0,448.0,2
16995,2 punti segnato,Breein Tyree,Ousmane Diop,made,446,446,810.0,280.0,0
16996,3 punti segnato,Stefano Tonut,Giordano Bortolani,made,472,472,1320.0,644.0,7
16997,3 punti sbagliato,,Breein Tyree,missed,493,493,750.0,952.0,6
16998,2 punti sbagliato,,Ousmane Diop,missed,493,493,750.0,952.0,6
16999,2 punti segnato,,Ousmane Diop,made,493,493,750.0,952.0,6
17000,2 punti segnato,Alessandro Cappelletti,Ousmane Diop,made,526,526,750.0,168.0,0
17001,2 punti segnato,Brandon Jefferson,Alessandro Cappelletti,made,566,566,420.0,168.0,1
17002,3 punti sbagliato,,Alfonzo Mckinnie,missed,597,597,330.0,812.0,6
17003,3 punti sbagliato,,Brandon Jefferson,missed,28,628,1125.0,812.0,7
17004,2 punti segnato,Giordano Bortolani,Stefano Tonut,made,34,634,630.0,280.0,0
17005,2 punti segnato,,Breein Tyree,made,54,654,795.0,336.0,0
